Gene stable ID	Gene type
FBgn0037627	protein_coding
FBgn0028523	protein_coding
FBgn0051524	protein_coding
FBgn0034266	protein_coding
FBgn0037889	protein_coding
FBgn0051896	tRNA
FBgn0035420	protein_coding
FBgn0031409	protein_coding
FBgn0264715	ncRNA
FBgn0038385	protein_coding
FBgn0267767	ncRNA
FBgn0259192	protein_coding
FBgn0033756	protein_coding
FBgn0032117	protein_coding
FBgn0030518	protein_coding
FBgn0039507	protein_coding
FBgn0051789	protein_coding
FBgn0037561	protein_coding
FBgn0033132	protein_coding
FBgn0033926	protein_coding
FBgn0011952	tRNA
FBgn0025549	protein_coding
FBgn0051068	protein_coding
FBgn0036180	protein_coding
FBgn0262820	protein_coding
FBgn0010387	protein_coding
FBgn0033382	protein_coding
FBgn0035440	protein_coding
FBgn0086856	protein_coding
FBgn0266401	ncRNA
FBgn0044047	protein_coding
FBgn0032840	protein_coding
FBgn0013307	protein_coding
FBgn0263830	protein_coding
FBgn0038206	protein_coding
FBgn0265873	ncRNA
FBgn0029690	protein_coding
FBgn0039199	protein_coding
FBgn0032075	protein_coding
FBgn0015754	protein_coding
FBgn0284246	protein_coding
FBgn0003261	protein_coding
FBgn0034158	protein_coding
FBgn0041092	protein_coding
FBgn0030361	protein_coding
FBgn0003116	protein_coding
FBgn0028999	protein_coding
FBgn0263986	protein_coding
FBgn0267677	ncRNA
FBgn0035285	protein_coding
FBgn0001180	protein_coding
FBgn0037365	protein_coding
FBgn0261843	protein_coding
FBgn0000482	protein_coding
FBgn0023549	protein_coding
FBgn0261397	protein_coding
FBgn0265906	ncRNA
FBgn0264574	protein_coding
FBgn0031692	protein_coding
FBgn0033520	protein_coding
FBgn0267827	ncRNA
FBgn0266351	ncRNA
FBgn0031523	protein_coding
FBgn0016122	protein_coding
FBgn0052289	tRNA
FBgn0283626	ncRNA
FBgn0039113	protein_coding
FBgn0051337	protein_coding
FBgn0053491	pseudogene
FBgn0267904	protein_coding
FBgn0035871	protein_coding
FBgn0051804	protein_coding
FBgn0038133	protein_coding
FBgn0267754	ncRNA
FBgn0039117	protein_coding
FBgn0086683	protein_coding
FBgn0266158	ncRNA
FBgn0015034	protein_coding
FBgn0267891	pseudogene
FBgn0033809	protein_coding
FBgn0065071	snoRNA
FBgn0032192	protein_coding
FBgn0036670	protein_coding
FBgn0039126	protein_coding
FBgn0037205	protein_coding
FBgn0033438	protein_coding
FBgn0262396	pre_miRNA
FBgn0038135	protein_coding
FBgn0038292	protein_coding
FBgn0036063	protein_coding
FBgn0031267	protein_coding
FBgn0028734	protein_coding
FBgn0061197	protein_coding
FBgn0265863	ncRNA
FBgn0262624	protein_coding
FBgn0036487	protein_coding
FBgn0265446	ncRNA
FBgn0036928	protein_coding
FBgn0038799	protein_coding
FBgn0034800	protein_coding
FBgn0259982	protein_coding
FBgn0031052	protein_coding
FBgn0045442	protein_coding
FBgn0267540	ncRNA
FBgn0038829	protein_coding
FBgn0046706	protein_coding
FBgn0029709	protein_coding
FBgn0031736	protein_coding
FBgn0038345	protein_coding
FBgn0030859	protein_coding
FBgn0038681	protein_coding
FBgn0086442	protein_coding
FBgn0265265	protein_coding
FBgn0034687	protein_coding
FBgn0050237	tRNA
FBgn0052413	protein_coding
FBgn0267940	ncRNA
FBgn0265424	ncRNA
FBgn0052392	protein_coding
FBgn0051436	protein_coding
FBgn0013773	protein_coding
FBgn0260226	protein_coding
FBgn0266260	ncRNA
FBgn0004654	protein_coding
FBgn0283547	pre_miRNA
FBgn0264081	protein_coding
FBgn0283525	protein_coding
FBgn0031128	protein_coding
FBgn0030157	protein_coding
FBgn0040334	protein_coding
FBgn0285951	protein_coding
FBgn0259862	ncRNA
FBgn0278599	ncRNA
FBgn0003435	protein_coding
FBgn0031802	protein_coding
FBgn0052647	protein_coding
FBgn0036934	protein_coding
FBgn0039425	protein_coding
FBgn0043841	protein_coding
FBgn0027567	protein_coding
FBgn0051223	protein_coding
FBgn0032471	protein_coding
FBgn0028897	protein_coding
FBgn0053301	protein_coding
FBgn0265163	ncRNA
FBgn0032691	protein_coding
FBgn0032533	protein_coding
FBgn0260648	protein_coding
FBgn0034293	protein_coding
FBgn0033754	protein_coding
FBgn0039329	protein_coding
FBgn0037636	protein_coding
FBgn0002561	protein_coding
FBgn0033597	protein_coding
FBgn0027549	protein_coding
FBgn0031005	protein_coding
FBgn0033389	protein_coding
FBgn0037811	protein_coding
FBgn0052023	protein_coding
FBgn0053514	protein_coding
FBgn0052657	ncRNA
FBgn0014029	protein_coding
FBgn0053838	protein_coding
FBgn0002570	protein_coding
FBgn0266027	ncRNA
FBgn0265874	ncRNA
FBgn0036128	protein_coding
FBgn0033184	protein_coding
FBgn0033954	protein_coding
FBgn0000618	protein_coding
FBgn0027070	protein_coding
FBgn0262527	protein_coding
FBgn0032382	protein_coding
FBgn0283559	pre_miRNA
FBgn0029838	protein_coding
FBgn0085419	protein_coding
FBgn0038386	protein_coding
FBgn0037405	protein_coding
FBgn0039339	protein_coding
FBgn0040942	protein_coding
FBgn0003944	protein_coding
FBgn0267705	ncRNA
FBgn0039030	protein_coding
FBgn0003499	protein_coding
FBgn0036849	protein_coding
FBgn0035823	protein_coding
FBgn0263109	protein_coding
FBgn0040360	protein_coding
FBgn0001092	protein_coding
FBgn0023001	protein_coding
FBgn0025878	protein_coding
FBgn0023179	protein_coding
FBgn0266900	ncRNA
FBgn0261547	protein_coding
FBgn0263573	pre_miRNA
FBgn0030367	protein_coding
FBgn0034936	protein_coding
FBgn0032705	protein_coding
FBgn0265825	ncRNA
FBgn0027091	protein_coding
FBgn0035445	protein_coding
FBgn0032015	protein_coding
FBgn0087008	protein_coding
FBgn0045501	protein_coding
FBgn0052499	protein_coding
FBgn0032896	protein_coding
FBgn0267049	protein_coding
FBgn0005775	protein_coding
FBgn0066114	protein_coding
FBgn0031657	protein_coding
FBgn0083037	snoRNA
FBgn0265362	protein_coding
FBgn0039596	protein_coding
FBgn0041171	protein_coding
FBgn0037470	protein_coding
FBgn0034509	protein_coding
FBgn0265303	ncRNA
FBgn0040899	protein_coding
FBgn0004606	protein_coding
FBgn0014877	protein_coding
FBgn0027093	protein_coding
FBgn0086768	protein_coding
FBgn0085274	protein_coding
FBgn0052699	protein_coding
FBgn0265147	ncRNA
FBgn0037001	protein_coding
FBgn0034925	protein_coding
FBgn0086451	protein_coding
FBgn0086655	protein_coding
FBgn0029789	protein_coding
FBgn0266248	ncRNA
FBgn0035106	protein_coding
FBgn0031053	protein_coding
FBgn0266588	ncRNA
FBgn0035179	protein_coding
FBgn0261924	ncRNA
FBgn0034360	protein_coding
FBgn0030975	protein_coding
FBgn0034362	protein_coding
FBgn0024321	protein_coding
FBgn0053129	protein_coding
FBgn0031990	protein_coding
FBgn0051827	protein_coding
FBgn0264844	ncRNA
FBgn0036857	protein_coding
FBgn0031871	protein_coding
FBgn0040534	protein_coding
FBgn0031077	protein_coding
FBgn0267282	ncRNA
FBgn0011802	protein_coding
FBgn0003527	protein_coding
FBgn0052069	protein_coding
FBgn0036731	protein_coding
FBgn0040687	protein_coding
FBgn0266363	protein_coding
FBgn0264901	ncRNA
FBgn0000116	protein_coding
FBgn0003132	protein_coding
FBgn0033356	protein_coding
FBgn0260000	protein_coding
FBgn0263215	pseudogene
FBgn0267097	ncRNA
FBgn0036168	protein_coding
FBgn0037720	protein_coding
FBgn0035875	protein_coding
FBgn0036666	protein_coding
FBgn0011570	protein_coding
FBgn0034580	protein_coding
FBgn0261383	protein_coding
